,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
256,The Self-Taught Programmer: The Definitive Guide to Programming Professionally,Cory Althoff,4.5 out of 5,"1,636 ratings",$21.87,Na,Programming,"Publisher : Self-Taught Media (January 24, 2017)
Language : English
Paperback : 299 pages
ISBN-10 : 0999685902
ISBN-13 : 978-0999685907
Item Weight : 1.14 pounds
Dimensions : 7.5 x 0.68 x 9.25 inches",Na,Na,Na,Na
257,The Algorithm Design Manual (Texts in Computer Science),Steven S. Skiena,4.5 out of 5,270 ratings,$67.73,$23.38,Programming,"Publisher : Springer; 3rd ed. 2020 edition (October 6, 2020)
Language : English
Hardcover : 810 pages
ISBN-10 : 3030542556
ISBN-13 : 978-3030542559
Item Weight : 3.46 pounds
Dimensions : 6.93 x 1.5 x 9.21 inches",,Na,Na,Part of: Texts in Computer Science (72 books)
258,Python All-in-One For Dummies (For Dummies (Computer/Tech)),John C. Shovic,4.5 out of 5,259 ratings,$29.99,Na,Programming Languages,"Publisher : For Dummies; 2nd edition (April 9, 2021)
Language : English
Paperback : 720 pages
ISBN-10 : 1119787602
ISBN-13 : 978-1119787600
Item Weight : 2.11 pounds
Dimensions : 7.4 x 1.6 x 9.1 inches",Na,Na,Na,Na
259,Introduction to Machine Learning with Python: A Guide for Data Scientists,Andreas Müller,4.5 out of 5,614 ratings,$53.99,Na,Computer Science,"Publisher : O'Reilly Media; 1st edition (November 15, 2016)
Language : English
Paperback : 398 pages
ISBN-10 : 1449369413
ISBN-13 : 978-1449369415
Item Weight : 1.3 pounds
Dimensions : 7 x 0.82 x 9.19 inches",Na,Na,Na,Part of: Learning Python (7 books)
260,Think Like a Programmer: An Introduction to Creative Problem Solving,V. Anton Spraul,4.7 out of 5,395 ratings,$19.89,Na,Programming,"Publisher : No Starch Press; 1st edition (August 12, 2012)
Language : English
Paperback : 256 pages
ISBN-10 : 1593274246
ISBN-13 : 978-1593274245
Item Weight : 1.25 pounds
Dimensions : 7 x 0.8 x 9.25 inches",Na,Na,Na,Na
261,Windows 10 For Seniors For Dummies (For Dummies (Computer/Tech)),Peter Weverka,4.2 out of 5,887 ratings,$15.69,Na,Operating Systems,"Publisher : For Dummies; 4th edition (August 25, 2020)
Language : English
Paperback : 320 pages
ISBN-10 : 1119680549
ISBN-13 : 978-1119680543
Item Weight : 1.31 pounds
Dimensions : 7.3 x 0.9 x 9.1 inches",Na,Na,Na,Na
262,CompTIA PenTest+ Study Guide: Exam PT0-002,Mike Chapple,4.6 out of 5,82 ratings,$42.29,Na,Certification,"Publisher : Sybex; 2nd edition (November 2, 2021)
Language : English
Paperback : 576 pages
ISBN-10 : 1119823811
ISBN-13 : 978-1119823810
Item Weight : 2.1 pounds
Dimensions : 7.3 x 1.1 x 9.2 inches",,Na,Na,Na
263,Algorithms (4th Edition),Robert Sedgewick,4.7 out of 5,730 ratings,$72.49,$33.81,Programming,"Publisher : Addison-Wesley Professional; 4th edition (March 24, 2011)
Language : English
Hardcover : 976 pages
ISBN-10 : 032157351X
ISBN-13 : 978-0321573513
Item Weight : 3.16 pounds
Dimensions : 7.7 x 1.4 x 9.3 inches",,Na,Na,Na
264,"Database Systems: Design, Implementation, & Management",Steven Morris,4.4 out of 5,445 ratings,$230.89,$49.93,Programming,"Publisher : Cengage Learning; 13th edition (January 1, 2018)
Language : English
Hardcover : 816 pages
ISBN-10 : 1337627909
ISBN-13 : 978-1337627900
Item Weight : 4.16 pounds
Dimensions : 8.5 x 1.25 x 11 inches",,Na,Na,Na
265,This Is Service Design Doing: Applying Service Design Thinking in the Real World,Markus Hormess,4.7 out of 5,539 ratings,$27.49,Na,Management & Leadership,"Publisher : O'Reilly Media; 1st edition (February 6, 2018)
Language : English
Paperback : 541 pages
ISBN-10 : 1491927186
ISBN-13 : 978-1491927182
Item Weight : 2.09 pounds
Dimensions : 7.25 x 1 x 9 inches",Na,Na,Na,Na
266,AutoCAD 2023 for the Interior Designer: AutoCAD for Mac and PC,Dean Muccio,3 out of 5,1 rating,$82.00,Na,Graphics & Design,"Publisher : SDC Publications; 1st edition (September 17, 2022)
Language : English
Paperback : 426 pages
ISBN-10 : 163057497X
ISBN-13 : 978-1630574970
Item Weight : 2.16 pounds
Dimensions : 11.3 x 0.98 x 8.54 inches",Na,Na,Na,Na
267,Practical Lock Picking: A Physical Penetration Tester's Training Guide,Deviant Ollam,4.7 out of 5,535 ratings,$37.46,Na,Home Improvement & Design,"Publisher : Syngress; 2nd edition (October 8, 2012)
Language : English
Paperback : 296 pages
ISBN-10 : 1597499897
ISBN-13 : 978-1597499897
Item Weight : 1.6 pounds
Dimensions : 9.1 x 7.5 x 0.5 inches",Na,Na,Na,Na
